FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
FPCPITOTLZGUSA,"Inflation, consumer prices for the United States, Percent, Annual, Not Seasonally Adjusted"
,
Frequency: Annual,
observation_date,FPCPITOTLZGUSA
1989-01-01,4.827003030089490
1990-01-01,5.397956439903220
1991-01-01,4.234963964538530
1992-01-01,3.028819678149700
1993-01-01,2.951656966385540
1994-01-01,2.607441592154600
1995-01-01,2.805419688536550
1996-01-01,2.931204199934400
1997-01-01,2.337689937307410
1998-01-01,1.552279098743620
1999-01-01,2.188027196973580
2000-01-01,3.376857271499350
2001-01-01,2.826171118854020
2002-01-01,1.586031626506030
2003-01-01,2.270094973361130
2004-01-01,2.677236693091730
2005-01-01,3.392746845495470
2006-01-01,3.225944100704070
2007-01-01,2.852672481501360
2008-01-01,3.839100296651010
2009-01-01,-0.355546266299750
2010-01-01,1.640043442389890
2011-01-01,3.156841568622060
2012-01-01,2.069337265260590
2013-01-01,1.464832655627140
2014-01-01,1.622222977408210
2015-01-01,0.118627135552435
2016-01-01,1.261583205705370
2017-01-01,2.130110003659630
2018-01-01,2.442583296928180
2019-01-01,1.812210075260150
2020-01-01,1.233584396306370
2021-01-01,4.697858863637390